"","study_1","study_2","study_3","study_4"
"GOLGA8S",0.53961814226692,0.487388851657797,0.686486975707545,0
"SUPT20HL2",1,0,0,0
"RGS9BP",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KLHL33",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"ANKRD9",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"TRIM50",0.53961814226692,0.487388851657797,0.686486975707545,0
"INGX",1,0,0,0
"CCT8L2",0.53961814226692,0.487388851657797,0.686486975707545,0
"GPR32",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"LINC00628",1,0,0,0
"SPACA4",0.589094188963293,0,0,0.808064376476083
"DKFZp434L192",0.589094188963293,0,0,0.808064376476083
"TLCD3B",1,0,0,0
"CENPVL3",1,0,0,0
"HTR7P1",0.589094188963293,0,0,0.808064376476083
"PRR23B",0.589094188963293,0,0,0.808064376476083
"SLC39A5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"PRKAG3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"GATA1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KRTAP12-3",0.471404520791032,0,0.599707531057446,0.646628683999372
"AVPR2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"MC1R",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"BAD",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"DSCR9",1,0,0,0
"SNORA5B",1,0,0,0
"KRTAP5-7",0.53961814226692,0.487388851657797,0.686486975707545,0
"OTOP3",1,0,0,0
"LOC574538",0.589094188963293,0,0,0.808064376476083
"SYNDIG1L",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KLF14",0.589094188963293,0,0,0.808064376476083
"OR6B3",0.617988307121335,0,0.786187288285245,0
"LINC01686",1,0,0,0
"LINC00656",1,0,0,0
"TMOD4",0.53961814226692,0.487388851657797,0.686486975707545,0
"DRD5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
