"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MTMR10",0.64916657403664,8.84696256097447,7.4881383851406,6.48911709015401e-12,6.7288539159847e-09,16.6959248874129
"DCAF4L2",0.81497258500249,9.81506356911477,7.45444419932122,7.81772739899804e-12,7.41883616069586e-09,16.5177560334639
"XLOC_005479",1.75644764154588,12.346972879242,7.45138673125696,7.94946280278153e-12,7.41883616069586e-09,16.5017669412797
"UPF3B",0.262991065862632,7.22794614403776,7.38231287056269,1.15628978250752e-11,1.02772137097633e-08,16.1431977428182
"HMCN1",-0.568773942791312,9.75392137631571,-7.36429463877725,1.27541844028202e-11,1.08207659944836e-08,16.049387451178
"PRIM2",0.490743839027203,10.6659903056954,7.31919280026944,1.62951801820254e-11,1.32238929607611e-08,15.8150061255942
"PRAP1",0.476659681843606,7.38289075051226,7.30174638912168,1.79120612743304e-11,1.39303593202241e-08,15.7245112769518
"LOC146481",0.472183548704008,7.48857664839927,7.26895671608544,2.13920578529204e-11,1.56329233300095e-08,15.5546887057719
"RBM17",1.18870435218222,8.49191322875721,7.26602862343495,2.17763732429814e-11,1.56329233300095e-08,15.5377302567012
"C3orf58",0.626529988367809,6.56233718924204,7.25024226661881,2.37089737752375e-11,1.63899257598077e-08,15.4563947828867
"LINC00051",1.20656373473055,8.62475588150086,7.23003662751769,2.64498824245023e-11,1.76316805519048e-08,15.351777270425
"MRE11A",1.23703716166016,10.3790022193315,7.16564408450246,3.74142616982106e-11,2.40805929171414e-08,15.0201302768922
