"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"LINC00602",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"POM121L4P",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ZFPM1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CYP21A1P",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PRR19",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C1QTNF5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MFRP",6.10399710405055,1.03448161148378e-09,2.11808131583675e-09
"ADRA2C",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"OR13J1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"P2RX6",3.23334277038109,0.00122350664315629,0.00162256254300002
"ALPP",8.0291218668234,4.44089209850063e-16,1.34596659385247e-15
"HRC",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"WWC2-AS2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ASPDH",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MAST1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TEDC2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GOLGA8F",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"HES3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FOXD2-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SSTR4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CXorf49B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CCDC177",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SPPL2C",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FXYD4",7.6884328870949,7.43849426498855e-15,2.1095210991904e-14
"CERS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SSR4P1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GDF1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"DNASE1L2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CYP1A1",3.44113631890002,0.000579276611119228,0.000790774719575703
"FAM138D",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"IL4I1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"RAB26",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LGALS4",10.6450044355392,0,0
"DMRTC2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"HGC6.3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"EXTL1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"HPD",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP5-6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GOLGA6EP",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"H2AB3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PRDM10-DT",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NPPA-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC00905",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CELSR3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C10orf62",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GNAO1-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PFN3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC100129534",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SEBOX",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FNDC10",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"H2AB1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"DBIL5P",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C15orf62",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC101059915",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ZNF469",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC01101",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GOLGA8G",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"JUN",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NPPA",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP5-5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"H2AB2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"WDR97",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PSMB11",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ANGPTL6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"RTEL1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CENPVL2",6.96057097609645,1.69453340248538e-12,4.12448048607447e-12
"ABHD16B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CXorf49",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C16orf92",5.96125587389473,2.50306664284494e-09,4.97919099993912e-09
"GOLGA8EP",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CENPVL1",6.96057097609645,1.69453340248538e-12,4.12448048607447e-12
"SYT5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LY6G6F",7.58677081510714,1.64313007644523e-14,4.54039717101028e-14
"GARIN5B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LY6G6F-LY6G6D",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM236B",4.67799296533181,2.89696482513868e-06,4.72797329115358e-06
"CAMKV",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PNMA8B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SYCE1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TRIM74",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"EXOC3-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SPEM2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FAM138E",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC35G3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP5-3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CCDC197",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ASB9P1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"OR2C1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"COL20A1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ECEL1P2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MYO15B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CDT1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
