"Gene_symbol","ng","mean_abs_logfc","GSE184316","GSE150910.biopsy","GSE150910.explant","GSE47460","metaFIN_pval","metaFIN_padj"
"TTTY15",3.7167368647764,1.12397801758133,-1.79350783536847,NA,NA,-0.454448199794188,0.000100906218435615,0.00040989410647148
"CD200R1L",3.71297825677526,1.1947846509738,NA,-1.00578504858907,-1.38378425335854,NA,0.000102417245520514,0.000415539164845155
"CHRND",3.70811221330022,1.57626945297127,6.46583153903402,0.11772014277154,-0.155346393282118,-0.123127476638348,0.000208810127025894,0.000788144589401261
"CIDEA",3.70521215089101,1.57762816313915,4.210922491246,1.2057365209655,-0.683774522794048,NA,0.000211213873092753,0.000796339671535364
"APOC3",3.70221466112506,1.89808683681386,NA,3.34612007720275,2.267317370672,0.0808230625668396,0.00010686283372896,0.000431849436495776
"AC093512.2",3.70125173199653,1.23663492543709,NA,-2.27826514702474,-0.195004703849436,NA,0.000107269251946485,0.000433221517650277
"HPDL",3.69478736870679,1.12442149857023,4.66348098206226,-0.495503919974268,0.224049294938465,0.105659637254461,0.000220070873478972,0.000826888160602997
"MAS1",3.69240644303869,1.3835890299746,5.6046818578103,-0.326037526134846,0.0631697260632378,0.192542062159725,0.000222142071531595,0.000833527194851121
"UTS2R",3.68975157043357,1.35176045326325,5.94656464464801,-0.172180150835148,-0.578434470932003,0.211091790172122,0.000224473152715454,0.000841360389915964
"CENPVL2",3.68808416558846,2.74052613220306,6.49204669934961,1.70760110262926,0.0219305946303106,NA,0.000112974458711501,0.000454002537245353
"CENPVL1",3.68808416558846,2.75260761734128,6.52829115476428,1.70760110262926,0.0219305946303106,NA,0.000112974458711501,0.000454002537245353
"AJM1",3.67757220676486,1.30365730507961,3.98496643077568,-0.378567658877302,0.304573143340464,NA,0.000235464432090327,0.000878701555253303
"PWRN2",3.67326781598605,2.73568650813455,5.45729571095622,NA,NA,0.0140773053128743,0.000119734134374272,0.00047870937115925
"PPP1R2B",3.66758260093067,1.55689974951545,3.80734900106431,0.769139726365148,0.0942105211168879,NA,0.000122427231533995,0.00048833634360422
"MYO18B",3.66280718173258,1.33421254244686,4.38531916488799,0.208984919243989,0.725119544759151,0.0174265408963035,0.000124733160286161,0.000496666413668515
"OR13F1",3.66119706532961,1.61323343547522,4.5572858326438,NA,0.297745288198923,-0.0153308144170575,0.000251039568092137,0.000932252808443012
"CYCSP52",3.65515428678356,1.38231000342784,2.76089936083713,NA,NA,0.00372064601855505,0.000128513678032571,0.00051031051017572
"RNASE10",3.65353264520747,1.36960552001423,5.97036933097128,-0.209060581347012,-0.156428807508494,-0.126457862058837,0.000258656885285147,0.000958720791826085
"HNRNPCL1",3.64043706871804,1.47807660445047,5.69590979262738,-0.29969527795048,0.548586161986903,-0.0324942588619194,0.000272175627643811,0.00100515596292365
